식당이미지(ID),식당(ID),식당명,지역명,식당이미지(URL),식당상태
2712,190489,백고집찌개마을,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-10/restaurant/190489_1528864693.jpg,미확인
2736,192064,육전면사무소 영등포점,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-10/restaurant/192064_492031053.jpg,운영중
2737,192064,육전면사무소 영등포점,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-10/restaurant/192064_936022469.jpg,운영중
2766,192710,량자샤브샤브구이,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-11/restaurant/192710_1154811247.jpg,미확인
2767,192710,량자샤브샤브구이,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-11/restaurant/192710_488785239.jpg,미확인
2784,195093,일공이팔 마라룽샤,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/195093_584952715.jpg,미확인
2785,195093,일공이팔 마라룽샤,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/195093_1972631164.jpg,미확인
2789,195371,소당마카롱,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/195371_1532839325.jpg,운영중
2790,195371,소당마카롱,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/195371_1885182005.jpg,운영중
2802,196947,사계진미 숯불닭갈비 당산점,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-11/restaurant/196947_1876699217.jpg,운영중
2803,196947,사계진미 숯불닭갈비 당산점,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-11/restaurant/196947_417802095.jpg,운영중
2820,199067,해뜨는마루,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/199067_1048793192.jpg,미확인
2821,199179,비에이블스터디카페 선유도역센터,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/199179_1542019676.jpg,미확인
2822,199179,비에이블스터디카페 선유도역센터,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/199179_95296228.jpg,미확인
2826,200018,MLMG COFFEE 문래점,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/200018_472996393.jpg,운영중
2827,200018,MLMG COFFEE 문래점,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/200018_1868884737.jpg,운영중
2828,200653,브로콜리,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/200653_2141170418.jpg,미확인
2829,200653,브로콜리,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/200653_61136060.jpg,미확인
2830,200791,이자카야림,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/200791_2084173310.jpg,폐업
2831,200791,이자카야림,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/200791_1171843239.jpg,폐업
2850,202587,스마일명품찹쌀꽈배기 영등포점,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/202587_1034913923.jpg,미확인
2856,202844,카페마리포사,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-11/restaurant/202844_1350984998.jpg,폐업
